projekt_nr;jahr;core_score;total_score;klasse;befunde_count;bewertungsstufen;faelle;D-02;D-04;D-05;D-08;F-01;F-08;P-08;P-11
0001-2024;2024;3;3;UNBEKANNT;0;;;Phase T: Diff 26.2%% (A=1153.0 R=852.0);;Hengst Malerwerkstätten GmbH: 2369 EUR;;;;;Caspari solo C=100 beteil=HOCH
0001-2025;2025;1;2;UNBEKANNT;0;;;;;;;;T-Phase: -1209.0 EUR (1.0%%);Bierau + Tandem (B=1 C=5);
0002-2023;2023;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1040.0 EUR (100.0%%);;
0002-2025;2025;1;1;POSITIV;0;;;;;Gerd Zippel: 18106 EUR;;;;;
0003-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0003-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0005-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0005-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0006-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0006-2024;2024;2;2;UNBEKANNT;1;GESICHERT;FALL-014;;;OZ Immobiliendienste GmbH: 6585 EUR;;;;;Caspari solo C=60 beteil=HOCH
0006-2025;2025;2;2;POSITIV;0;;;;;;;W-Phase: -4890.0 EUR (1.0%%);;Bierau + Tandem (B=12 C=18);
0007-2023;2023;1;1;UNBEKANNT;0;;;;;Hengst Malerwerkstätten GmbH: 3567 EUR;;;;;
0008-2023;2023;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1315.0 EUR (100.0%%);;
0008-2025;2025;2;2;UNBEKANNT;0;;;;;N&N Bau GbR: 3914 EUR;;;;;Caspari solo C=60 beteil=HOCH
0009-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0009-2025;2025;1;1;UNBEKANNT;1;GESICHERT;FALL-017;;;N&N Bau GbR: 3161 EUR;;;;;
0010-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0011-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0011-2024;2024;1;1;UNBEKANNT;0;;;;;Hengst Malerwerkstätten GmbH: 7877 EUR;;;;;
0011-2025;2025;2;2;POSITIV;0;;;;;;;W-Phase: -1843.0 EUR (100.0%%);;Bierau + Tandem (B=16 C=41);
0012-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0012-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0013-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0013-2025;2025;2;2;UNBEKANNT;0;;;;Schreinerei Lothar Merte: 721.14 EUR x2;;;;;Bierau + Tandem (B=1 C=10);
