projekt_nr;signal_count;befunde_count;bewertungsstufen;faelle;gt_kategorie;BEN-01;D-02;D-03;D-04;D-05;D-08;F-01;F-03;N-06;N-08;P-07;P-08
0001-2025;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 1+5)
0002;0;0;;;;;;;;;;;;;;;
0003;0;0;;;;;;;;;;;;;;;
0004;0;0;;;;;;;;;;;;;;;
0006-2025;2;0;;;;;;;;;;Phase W: Diff -4890.0 EUR (1.0%);;;;;Bierau + JA (BC-Score: 12+18)
0007;0;0;;;;;;;;;;;;;;;
0008;0;0;;;;;;;;;;;;;;;
0009;0;0;;;;;;;;;;;;;;;
0010;0;0;;;;;;;;;;;;;;;
0011-2025;2;0;;;;;;;;;;Phase W: Diff -1843.0 EUR (100.0%);;;;;Bierau + JA (BC-Score: 16+41)
0012;0;0;;;;;;;;;;;;;;;
0013-2025;2;0;;;;;;;Schreinerei Lothar Merte: 721.14 EUR x2 (25G0380/25G0381);;;;;;;;Bierau + JA (BC-Score: 1+10)
0014-2024;4;1;GESICHERT;FALL-014;;;Diff 99.6% (A=28281.0 R=110.0);;;RE 20240302: 1245 EUR;;Phase W: Diff -28171.0 EUR (99.6%);;;;;Bierau + JA (BC-Score: 32+40)
0015-2025;4;1;GESICHERT;FALL-013;;;Diff 94.6% (A=13212.0 R=707.0);;;RE 20250305: 16159 EUR;;Phase W: Diff -12505.0 EUR (94.6%);;;;;Bierau + JA (BC-Score: 234+207)
0016;0;0;;;;;;;;;;;;;;;
0017-2024;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 4+1)
0018-2025;3;1;VERDACHT;FALL-011;;;Diff 34.0% (A=14549.0 R=19494.0);;;RE 20250614: 19585 EUR;;;;;;;Bierau + JA (BC-Score: 38+42)
0019-2025;2;0;;;;;;;;;;Phase W: Diff -3532.0 EUR (1.0%);;;;;Bierau + JA (BC-Score: 21+19)
0020-2025;3;1;GESICHERT;FALL-011;;;;;;RE 25040020: 7854 EUR;;Phase W: Diff -32790.0 EUR (100.0%);;;;;Bierau + JA (BC-Score: 22+58)
0021;0;0;;;;;;;;;;;;;;;
0022;0;0;;;;;;;;;;;;;;;
0023;0;0;;;;;;;;;;;;;;;
0024-2024;3;0;;;;;Diff 58.9% (A=2216.0 R=910.0);;;;;Phase T: Diff -1306.0 EUR (58.9%);;;;;Bierau + JA (BC-Score: 3+10)
0025;0;0;;;;;;;;;;;;;;;
0026-2024;3;0;;;;;Diff 95.0% (A=3886.0 R=193.0);;;;;Phase W: Diff -3694.0 EUR (95.0%);;;;;Bierau + JA (BC-Score: 27+13)
0027-2025;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 6+4)
0028;0;0;;;;;;;;;;;;;;;
0029-2025;2;0;;;;;;;;;Fliesen Schmidt: 10072.0 EUR bei 0.0% Prov;;;;;;Bierau + JA (BC-Score: 9+21)
0030;0;0;;;;;;;;;;;;;;;
0031-2024;3;1;VERDACHT;FALL-011;;;;;;RE 20250113: 3178 EUR;;Phase W: Diff -4318.0 EUR (100.0%);;;;;Bierau + JA (BC-Score: 36+74)
0032;0;0;;;;;;;;;;;;;;;
0033;0;0;;;;;;;;;;;;;;;
0034-2025;4;0;;;;;;;N&N Bau GbR: 6455.75 EUR x2 (RE64225/RE64725);RE RE64225: 6456 EUR;;Phase W: Diff -2674.0 EUR (18.3%);;;;;Bierau + JA (BC-Score: 55+49)
0035;0;0;;;;;;;;;;;;;;;
0036-2025;4;12;VERDACHT;FALL-014;;;Diff 297.9% (A=754.0 R=2999.0);;;RE 20250301: 4462 EUR;;;;3 Akteure: RS Bau,Caspari,Caspari, Kliebisch;;;Bierau + JA (BC-Score: 111+175)
0037;0;0;;;;;;;;;;;;;;;
0038-2025;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 6+1)
0039-2025;2;0;;;;;;;;;;Phase W: Diff -4555.0 EUR (1.0%);;;;;Bierau + JA (BC-Score: 7+16)
0040;0;0;;;;;;;;;;;;;;;
0041;0;0;;;;;;;;;;;;;;;
0042;0;0;;;;;;;;;;;;;;;
0043;0;0;;;;;;;;;;;;;;;
0044;0;0;;;;;;;;;;;;;;;
