projekt_nr;jahr;signal_count;klasse;befunde_count;bewertungsstufen;faelle;akteure;D-02;D-04;D-05;D-08;F-01;N-06_TAUTOLOGISCH;P-08
0001-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 26.2% (A=1153.0 R=852.0);;Hengst Malerwerkstätten GmbH: 2369 EUR (202436914);;;;Caspari + NEIN (B=0 C=100)
0001-2025;2025;2;UNBEKANNT;0;;;;;;;;Phase T: -1209.0 EUR (1.0%);;Bierau + JA (B=1 C=5)
0002-2023;2023;1;UNBEKANNT;0;;;;;;;;Phase T: -1040.0 EUR (100.0%);;
0002-2025;2025;1;POSITIV;0;;;;;;Gerd Zippel: 18106 EUR (2504124);;;;
0003-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0003-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
0005-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0005-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0006-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0006-2024;2024;3;UNBEKANNT;1;GESICHERT;FALL-014;RS Bau;Phase W: Diff 149.6% (A=4070.0 R=10157.0);;OZ Immobiliendienste GmbH: 6585 EUR (240105);;;;Caspari + NEIN (B=0 C=60)
0006-2025;2025;2;POSITIV;0;;;;;;;;Phase W: -4890.0 EUR (1.0%);;Bierau + JA (B=12 C=18)
0007-2023;2023;1;UNBEKANNT;0;;;;;;Hengst Malerwerkstätten GmbH: 3567 EUR (202332521);;;;
0008-2023;2023;1;UNBEKANNT;0;;;;;;;;Phase T: -1315.0 EUR (100.0%);;
0008-2025;2025;3;UNBEKANNT;0;;;;Phase W: Diff 208.1% (A=1739.0 R=5357.0);;N&N Bau GbR: 3914 EUR (RE68125);;;;Caspari + NEIN (B=0 C=60)
0009-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0009-2025;2025;1;UNBEKANNT;1;GESICHERT;FALL-017;Bierau, Caspari;;;N&N Bau GbR: 3161 EUR (RE64825);;;;
0010-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=50)
0011-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0011-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 51.3% (A=1291.0 R=1954.0);;Hengst Malerwerkstätten GmbH: 7877 EUR (202436471);;;;
0011-2025;2025;2;POSITIV;0;;;;;;;;Phase W: -1843.0 EUR (100.0%);;Bierau + JA (B=16 C=41)
0012-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0012-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=50)
0013-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0013-2025;2025;2;UNBEKANNT;0;;;;;Schreinerei Lothar Merte: 721.14 EUR x2 (25G0380/25G0381);;;;;Bierau + JA (B=1 C=10)
0014-2024;2024;4;POSITIV;3;GESICHERT;FALL-014;Bierau, Schulz|RS Bau;Phase W: Diff 99.6% (A=28281.0 R=110.0);;RS Bau und Demontage Service: 1245 EUR (20240302);;Phase W: -28171.0 EUR (99.6%);;Bierau + JA (B=32 C=40)
0014-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=50)
0015-2023;2023;2;UNBEKANNT;0;;;;Phase W: Diff 1578.8% (A=791.0 R=13277.0);;Raumgestaltung Jörg Fruhriep: 4551 EUR (739);;;;
0015-2025;2025;4;POSITIV;3;GESICHERT;FALL-013|FALL-014;Bierau, Caspari|RS Bau;Phase W: Diff 94.6% (A=13212.0 R=707.0);;RS Bau und Demontage Service: 16159 EUR (20250305);;Phase W: -12505.0 EUR (94.6%);;Bierau + JA (B=234 C=207)
0016-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0016-2024;2024;3;UNBEKANNT;0;;;;Phase W: Diff 76.2% (A=7274.0 R=12818.0);;Öko-Bauzentrum Junker GmbH & Co. KG: 11039 EUR (R2402500);;;;Caspari + NEIN (B=0 C=10)
0017-2023;2023;2;UNBEKANNT;0;;;;Phase W: Diff 1503.0% (A=1604.0 R=25709.0);;Schreinerei Lothar Merte: 1157 EUR (23G0381);;;;
0017-2024;2024;2;UNBEKANNT;0;;;;;;;;Phase T: -1843.0 EUR (1.0%);;Bierau + JA (B=4 C=1)
0017-2025;2025;2;UNBEKANNT;0;;;;;;;;Phase T: -1549.0 EUR (100.0%);;Bierau + JA (B=7 C=6)
0018-2024;2024;1;UNBEKANNT;0;;;;Phase T: Diff 225.2% (A=240.0 R=780.0);;;;;;
0018-2025;2025;3;POSITIV;3;GESICHERT|VERDACHT;FALL-011|FALL-014;Bierau, RS Bau|RS Bau;Phase W: Diff 34.0% (A=14549.0 R=19494.0);;RS Bau und Demontage Service: 19585 EUR (20250614);;;;Bierau + JA (B=38 C=42)
0019-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 96.3% (A=4785.0 R=176.0);;;;Phase T: -4609.0 EUR (96.3%);;
0019-2025;2025;2;POSITIV;0;;;;;;;;Phase W: -3532.0 EUR (1.0%);;Bierau + JA (B=21 C=19)
0020-2023;2023;3;UNBEKANNT;0;;;;Phase W: Diff 27.9% (A=5418.0 R=3904.0);;Hengst Malerwerkstätten GmbH: 4224 EUR (202332514);;Phase W: -1513.0 EUR (27.9%);;
0020-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 89.3% (A=1061.0 R=114.0);;;;;;Caspari + NEIN (B=0 C=70)
0020-2025;2025;4;POSITIV;2;GESICHERT;FALL-011;Bierau;Phase T: Diff 40.0% (A=11790.0 R=7069.0);;Firma Bajramaj: 7854 EUR (25040020);;Phase W: -32790.0 EUR (100.0%);;Bierau + JA (B=22 C=58)
0021-2023;2023;1;UNBEKANNT;0;;;;;;Firma Bajramaj: 11259 EUR (23030011);;;;
0022-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0022-2024;2024;1;UNBEKANNT;0;;;;;;;;Phase T: -1128.0 EUR (100.0%);;
0022-2025;2025;3;UNBEKANNT;0;;;;Phase T: Diff 501.2% (A=4010.0 R=24109.0);;Firma Bajramaj: 18988 EUR (25050020);;;;Caspari + NEIN (B=0 C=100)
0023-2024;2024;3;UNBEKANNT;3;GESICHERT|VERDACHT;FALL-014;Caspari, RS Bau|RS Bau;Phase W: Diff 1094.0% (A=7810.0 R=93253.0);;RS Bau und Demontage Service: 22304 EUR (20240701);;;;Caspari + NEIN (B=0 C=90)
0023-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0024-2023;2023;3;UNBEKANNT;2;VERDACHT;FALL-015;Caspari;Phase W: Diff 890.5% (A=3427.0 R=33940.0);;Firma Bajramaj: 6201 EUR (23030012);;;;Caspari + NEIN (B=0 C=10)
0024-2024;2024;3;POSITIV;0;;;;Phase T: Diff 58.9% (A=2216.0 R=910.0);;;;Phase T: -1306.0 EUR (58.9%);;Bierau + JA (B=3 C=10)
0024-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Bierau + JA (B=10 C=4)
0025-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0026-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0026-2024;2024;3;POSITIV;0;;;;Phase W: Diff 95.0% (A=3886.0 R=193.0);;;;Phase W: -3694.0 EUR (95.0%);;Bierau + JA (B=27 C=13)
0026-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0027-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0027-2024;2024;2;POSITIV;0;;;;;;N&N Bau GbR: 8000 EUR (RE63124);;;;Caspari + NEIN (B=0 C=40)
0027-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Bierau + JA (B=6 C=4)
0028-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0029-2023;2023;1;UNBEKANNT;0;;;;;;Hengst Malerwerkstätten GmbH: 1073 EUR (202331718);;;;
0029-2024;2024;3;UNBEKANNT;0;;;;Phase W: Diff 128.7% (A=2500.0 R=5718.0);;N&N Bau GbR: 5633 EUR (RE614/24);;;;Caspari + NEIN (B=0 C=100)
0029-2025;2025;2;UNBEKANNT;0;;;;;;;Fliesen Schmidt: 10072.0 EUR bei 0.0% Prov;;;Bierau + JA (B=9 C=21)
0030-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0030-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0030-2025;2025;3;UNBEKANNT;0;;;;Phase T: Diff 80.4% (A=1710.0 R=335.0);;;;Phase T: -1375.0 EUR (80.4%);;Caspari + NEIN (B=0 C=30)
0031-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0031-2024;2024;4;POSITIV;3;GESICHERT|VERDACHT;FALL-011|FALL-014;Bierau, Caspari|RS Bau;Phase T: Diff 451.3% (A=2001.0 R=11034.0);;RS Bau und Demontage Service: 3178 EUR (20250113);;Phase W: -4318.0 EUR (100.0%);;Bierau + JA (B=36 C=74)
0031-2025;2025;2;UNBEKANNT;0;;;;Phase T: Diff 41.0% (A=1411.0 R=832.0);;;;;;Caspari + NEIN (B=0 C=50)
0032-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0032-2024;2024;3;POSITIV;2;GESICHERT;FALL-017;Bierau, Caspari;Phase W: Diff 82.7% (A=12972.0 R=23703.0);;N&N Bau GbR: 11603 EUR (RE60624);;;;Bierau + JA (B=20 C=70)
0032-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=80)
0034-2024;2024;2;UNBEKANNT;0;;;;;;N&N Bau GbR: 1878 EUR (RE60524);;;;Caspari + NEIN (B=0 C=10)
0034-2025;2025;4;POSITIV;1;HYPOTHESE;FALL-014;Menkal;;N&N Bau GbR: 6455.75 EUR x2 (RE64225/RE64725);N&N Bau GbR: 6456 EUR (RE64225);;Phase W: -2674.0 EUR (18.3%);;Bierau + JA (B=55 C=49)
0035-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0035-2025;2025;3;UNBEKANNT;0;;;;Phase T: Diff 66.5% (A=1630.0 R=546.0);;;;Phase T: -1084.0 EUR (66.5%);;Caspari + NEIN (B=0 C=20)
0036-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 307.2% (A=715.0 R=2911.0);;Schreinerei Lothar Merte: 1967 EUR (24G0391);;;;Caspari + NEIN (B=0 C=20)
0036-2025;2025;4;POSITIV;26;GESICHERT|HYPOTHESE|VERDACHT;FALL-014;Caspari|Caspari, Kliebisch|Menkal|RS Bau;Phase W: Diff 297.9% (A=754.0 R=2999.0);;RS Bau und Demontage Service: 4462 EUR (20250301);;;3 Akteure: RS Bau,Caspari,Caspari, Kliebisch;Bierau + JA (B=111 C=175)
0037-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0037-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 59.6% (A=1313.0 R=530.0);;;;;;Caspari + NEIN (B=0 C=20)
0037-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
